排名,标题,综合分数,播放量,Up主,个人空间,视频地址,弹幕
67,一款“益智”小玩具，玩一遍感觉智商受到了侮辱,1120148,125.7万,YouTube精彩视频-,//space.bilibili.com/412719797,//www.bilibili.com/video/BV1Ap4y1x7aQ,737
68,开口跪|《See You Again》油管4亿播放组合红岩谷绝美翻唱,1119489,48.8万,音乐兄弟MTL,//space.bilibili.com/1348996867,//www.bilibili.com/video/BV1Wy4y1e71h,746
69,奥特英雄为患病儿童实现愿望,1113141,66.2万,警界君,//space.bilibili.com/324248368,//www.bilibili.com/video/BV1Jh41127PM,1327
70,【成果展示】3周挑战贝多芬，学习钢琴成果首次公开！,1102874,64.3万,刘谦,//space.bilibili.com/641975239,//www.bilibili.com/video/BV1Wt4y1r7km,3831
71,一片混乱！特朗普支持者集会示威闯入美国国会,1099973,130.4万,央视新闻,//space.bilibili.com/456664753,//www.bilibili.com/video/BV1YA411W7Dy,5014
72,【虫哥】于正道歉的那部神剧《宫锁连城》到底是有多魔鬼...,1089373,84.8万,虫哥说电影,//space.bilibili.com/29296192,//www.bilibili.com/video/BV175411n7uH,1.4万
73,油管7千万播放的暗恋神曲《Crush》，说不出口的悸动，恋爱的感觉！,1084419,55万,鬼马精灵TessaViolet,//space.bilibili.com/2012509747,//www.bilibili.com/video/BV1M5411p7PB,670
74,你 怎 么 睡 得 着 啊 ？,1062890,72.5万,-CS-,//space.bilibili.com/454310182,//www.bilibili.com/video/BV1ja4y1n77j,528
75,霸 王 谈 判,1061405,60.9万,狗辉大师,//space.bilibili.com/394201823,//www.bilibili.com/video/BV1yU4y1x7Gb,2466
76,如何剥出一个生鸡蛋,1054673,88.6万,一棵苏铁,//space.bilibili.com/412878149,//www.bilibili.com/video/BV1HT4y1N7dW,2588
77,去漫展加50个摄影师的微信，返图差别有多大？,1051616,51万,-LKs-,//space.bilibili.com/125526,//www.bilibili.com/video/BV1AK411u7qd,6221
78,公子且细瞧 我们是妖还是仙～原创曲·编舞《盘 丝》,1015166,45.4万,西四炸弹,//space.bilibili.com/521444,//www.bilibili.com/video/BV16U4y1x7Ve,1870
79,救了一只流浪猫,1000281,54.3万,Juli刘,//space.bilibili.com/1951371956,//www.bilibili.com/video/BV1Uy4y1e7LN,1367
80,愿相会于中华腾飞世界时,999864,36.2万,共青团中央,//space.bilibili.com/20165629,//www.bilibili.com/video/BV1VX4y1K7rE,0
81,你这么老，知道什么是二次元吗？【TOS2020】,997995,28.7万,音乐鱼,//space.bilibili.com/440290,//www.bilibili.com/video/BV1kz4y1z7ui,1363
82,【围炉夜话】鲁迅巅峰之作，阿Q到底是谁？,997261,45.5万,智能路障,//space.bilibili.com/79577853,//www.bilibili.com/video/BV1Pr4y1T7vc,3233
83,海底女神萨顶顶的《海底》来了！海妖附体般的嗓音，演绎悠远空灵的海底,993436,75.1万,梦幻西游电脑版,//space.bilibili.com/444935584,//www.bilibili.com/video/BV1fV41147Ck,4846
84,【老邪吐槽】翻身变翻车！逆天吐槽郭敬明绝唱烂片《晴雅集》,991619,82.7万,老邪说电影,//space.bilibili.com/154021609,//www.bilibili.com/video/BV13f4y1y7Za,2991
85,当身体被掏空！,990294,40.9万,巫托邦,//space.bilibili.com/382193067,//www.bilibili.com/video/BV1ur4y1T71J,2641
86,爆肝30天做出逼死官方的螳螂刀！能弹出，能收回。,988957,59.4万,极客匠,//space.bilibili.com/129259501,//www.bilibili.com/video/BV1cV411t7bi,1346
87,消化一下：疫情叠加经济暴雷，老仙救不了印度人,988427,72.3万,观察者网,//space.bilibili.com/10330740,//www.bilibili.com/video/BV1Xo4y1d7YE,8605
