排名,标题,综合分数,播放量,Up主,个人空间,视频地址,弹幕
54,这……这帅哥和这美女居然是一个人演的！？！,1144767,109.7万,在下啵啵君,//space.bilibili.com/583559884,//www.bilibili.com/video/BV19v411Y7vU,1499
55,【风笑试玩】修仙世界得拼爹拼背景丨鬼谷八荒 (2集),1134577,68.5万,逆风笑,//space.bilibili.com/2019740,//www.bilibili.com/video/BV1gA411u7HK,1.1万
56,【老E】不用上军事法庭了，直接枪毙吧。,1133740,66.7万,EdmundDZhang,//space.bilibili.com/433351,//www.bilibili.com/video/BV1HN411o7sk,3889
57,鱼子酱做蛋挞鳕鱼肉做泡芙，这家55年的西餐厅竟然这样做甜品？,1132204,71.5万,食贫道,//space.bilibili.com/39627524,//www.bilibili.com/video/BV1VK4y1p7WV,9328
58,微信8.0正确用法示范,1114428,147.1万,腾讯,//space.bilibili.com/480940351,//www.bilibili.com/video/BV1z54y1p7e7,2441
59,美国“韭菜”抱团大战华尔街！街访纽约路人怎么看？,1086391,67.4万,我是郭杰瑞,//space.bilibili.com/176037767,//www.bilibili.com/video/BV1ft4y1q7ec,5110
60,中国第一高楼内部什么样？在世界建筑顶点往下看是什么感觉,1082915,66.4万,终极小腾,//space.bilibili.com/394609671,//www.bilibili.com/video/BV1wp4y1s7ec,3245
61,我又屁颠屁颠回来了！,1069066,68.7万,敬汉卿,//space.bilibili.com/9824766,//www.bilibili.com/video/BV1o5411J71u,3609
62,消化一下：可防可控不传人，俄罗斯“反对派”图鉴,1067961,78.4万,观察者网,//space.bilibili.com/10330740,//www.bilibili.com/video/BV1or4y1N75y,6665
63,【画质改造】48小时爆改党妹的家！,1067090,64.7万,影视飓风,//space.bilibili.com/946974,//www.bilibili.com/video/BV1pz4y1S7t7,1873
64,【假期炸鸡指南】三种爆肉汁的炸鸡，学完还点外卖算我输！,1057127,57.4万,上班族的便当,//space.bilibili.com/50660116,//www.bilibili.com/video/BV1LT4y1P7RG,1147
65,【主播真会玩主机篇】128：杨树大敌当前天降神犬，小桀弹簧翻身一飞冲天,1055957,68.2万,是大腿,//space.bilibili.com/1565155,//www.bilibili.com/video/BV1oo4y1R7uv,4697
66,试吃“拖鞋鱼”，世界上最懒的鱼，出锅后鲜香麻烦吃的非常上头,1052478,76.4万,小文哥吃吃吃,//space.bilibili.com/476704454,//www.bilibili.com/video/BV1sA411p7Jw,4910
67,千   本   冰,1046712,48.8万,十五的月亮廿九圆,//space.bilibili.com/397211154,//www.bilibili.com/video/BV1FV411b7Qf,469
68,难道你不觉得  这样更刺激吗？,1038447,78.5万,姚姚不是P30,//space.bilibili.com/587618113,//www.bilibili.com/video/BV1Xo4y1R76R,1997
69,8道题测出你的人格味道，你是果味甜心还是酒味大佬？,1029266,42.9万,趣测酱,//space.bilibili.com/471792754,//www.bilibili.com/video/BV1uv4y1f7zA,6421
70,【剧情向】印 尼 马 里 奥 兄 弟,1021894,56万,阿攸丶,//space.bilibili.com/8194298,//www.bilibili.com/video/BV1yf4y1k7iV,590
71,反 斯 德 哥 尔 摩 综 合 症,1016010,44万,小熊flippy,//space.bilibili.com/8730238,//www.bilibili.com/video/BV1i54y1s7cb,1.1万
72,小米隔空充电技术，再也不用担心手机没电了,1015665,106万,小米商城官方,//space.bilibili.com/60253266,//www.bilibili.com/video/BV1Ly4y1n7Vx,2893
73,响应号召不聚餐，厨师长用40斤宽油制作年菜送给同事,1008381,92.9万,美食作家王刚R,//space.bilibili.com/290526283,//www.bilibili.com/video/BV17p4y1s74q,7247
74,卖惨？对……对不起，我给大家道歉。,1003622,65.1万,大笑测评,//space.bilibili.com/419163775,//www.bilibili.com/video/BV1gv411e7Ro,7945
75,【时代少年团】TNT夜游长沙记（上）,997875,42万,TF家族,//space.bilibili.com/3670216,//www.bilibili.com/video/BV1ey4y117XV,4.3万
76,富江再临！请把爷青回打在公屏上！,997169,43.6万,丸子叨叨叨,//space.bilibili.com/452309333,//www.bilibili.com/video/BV1D54y1p7dB,2577
77,【女友租赁】在日本真的可以租两个女友吗？,980197,41.3万,松浦文哉-SPWZ社長-,//space.bilibili.com/14402657,//www.bilibili.com/video/BV1yv411s7Jy,4826
78,IU回归先行曲Celebrity MV+Live公开,972749,62.7万,pcyxjy,//space.bilibili.com/16720403,//www.bilibili.com/video/BV1sy4y1p7bJ,2141
79,【虫哥】八卦爱情满天飞的小笼包版《神雕侠侣》，杨过全程吃瓜~,966073,67.8万,虫哥说电影,//space.bilibili.com/29296192,//www.bilibili.com/video/BV1EV411B7Bj,6.7万
80,小米首发隔空充电技术，如科幻电影般的新技术！,966004,81.2万,小米公司,//space.bilibili.com/23920239,//www.bilibili.com/video/BV18t4y1B786,2203
81,佩恩：感受痛....拉倒吧...!,947268,72.2万,冷淡熊,//space.bilibili.com/448039667,//www.bilibili.com/video/BV1vU4y147R6,1427
82,【罗翔】做知识殿堂的小门童,941271,49.7万,罗翔说刑法,//space.bilibili.com/517327498,//www.bilibili.com/video/BV1GT4y1P7tQ,3143
83,从0制作钢铁侠手套，激光发射威力MAX,936816,65万,Hacksmith,//space.bilibili.com/696648800,//www.bilibili.com/video/BV1hN411d7NA,1588
84,好家伙...是哪个鬼才教你这样剪视频的？,936713,37.9万,Baka恶魔,//space.bilibili.com/11255948,//www.bilibili.com/video/BV1bp4y1s7WJ,399
85,汽车区最壕UP主公开新房，他真的有千万车库吗？,933738,34.3万,好看不火的梦想家ALI,//space.bilibili.com/326088478,//www.bilibili.com/video/BV1Xr4y1K7yt,6840
86,致敬5t5 老师：领域展开 无量空处（尚有不足请多指教！,929118,21.9万,肖宇梁Rainco,//space.bilibili.com/484551035,//www.bilibili.com/video/BV1uV411B715,2435
87,爆肝400小时！年度大作《原神全角色圣遗物推荐》进阶篇,922600,23.4万,老沐ocean,//space.bilibili.com/23730666,//www.bilibili.com/video/BV1mU4y1s7Wv,982
88,大空大地：艾克斯！融合吧！！！,920273,59.8万,古呀老师,//space.bilibili.com/543931452,//www.bilibili.com/video/BV11z4y1m7fA,1208
89,【逗鱼时刻】第287期 哥，要不咱别看了,917230,91.7万,天天卡牌,//space.bilibili.com/10462362,//www.bilibili.com/video/BV1DU4y1s71J,6444
90,世事难预料，我被炒鱿鱼了,905521,54.6万,东尼ookii,//space.bilibili.com/285499073,//www.bilibili.com/video/BV1Mt4y1B7pQ,6809
91,30年前居然有如此黑科技的游戏！说它引领潮流真的一点都不过分！,903358,29.7万,33不是山山,//space.bilibili.com/246370149,//www.bilibili.com/video/BV1z5411J7To,2080
92,当 代 青 年 手 速 现 状,903159,69.2万,进击的金厂长,//space.bilibili.com/321422126,//www.bilibili.com/video/BV1nv411s77A,1080
93,小蕾姆只想玩剪刀石头布,900123,45.8万,枭荡主,//space.bilibili.com/1530674,//www.bilibili.com/video/BV1pK4y1p7QP,566
94,全球第一！全球第二！都是国产游戏！这场面我真没见过！,899725,98.9万,夜神说话,//space.bilibili.com/15105608,//www.bilibili.com/video/BV1Vr4y1K7Se,983
95,我发现了某宝的隐藏用法！,892305,41.4万,我是球球菌,//space.bilibili.com/32685766,//www.bilibili.com/video/BV1c54y1W7SW,1576
96,来自下士的肯定,876851,53.4万,连少有为,//space.bilibili.com/692724728,//www.bilibili.com/video/BV1v54y1p7cc,629
97,我在一次直播中合出了六个半大西瓜,872944,117万,阿萨Aza,//space.bilibili.com/480680646,//www.bilibili.com/video/BV1YK4y1H7F7,1224
98,超高效 2021 全年变美计划本， 给你一年的蜕变时间！,871967,21.1万,Aura_颜臻,//space.bilibili.com/314742400,//www.bilibili.com/video/BV1yz4y1S728,482
99,英雄联盟终于要抓我了！采访云顶设计师-S5新模式？天选之人删除？隐藏道具？空城扣血更改？95至尊？,865166,34.9万,我是TOO,//space.bilibili.com/13904634,//www.bilibili.com/video/BV15A411u7CA,4278
100,老婆没娶到，20多万都拿去做慈善。,862360,31.8万,一点爱送温暖,//space.bilibili.com/457871303,//www.bilibili.com/video/BV1cv411e71S,1311
